 TIME                    	Wind                     	Extraterrestrial         	Globalhorizontal         	globaldiffuse            	globaldirect             	incidentsolarradiation_to	tiltedradiation_direct   	titlted                  	diffuse                  	Ambienttemperature       	Slope                    	SURFACE_AI               	day                      	
 HOURS              	m/s                 	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	øC                  	Degrees             	Degrees             	                    	Degrees             	
  +0.0000000000000000E+00	  +2.6000000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.0000000000000000E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  -6.2833333333333350E+00	
  +1.0000000000000000E+00	  +3.4000000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1350000000000001E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  -6.2833333333333350E+00	
  +2.0000000000000000E+00	  +3.7000000000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.2600000000000001E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  -6.2833333333333350E+00	
  +3.0000000000000000E+00	  +3.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.2400000000000000E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  -6.2833333333333350E+00	
  +4.0000000000000000E+00	  +2.9000000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.2150000000000000E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  -6.2833333333333350E+00	
  +5.0000000000000000E+00	  +3.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1900000000000000E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  -6.2833333333333350E+00	
  +6.0000000000000000E+00	  +3.1500000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1700000000000001E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  -6.2833333333333350E+00	
  +7.0000000000000000E+00	  +3.0500000000000003E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1500000000000000E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  -6.2833333333333350E+00	
  +8.0000000000000000E+00	  +3.2500000000000000E+00	  +1.0700568751047344E+02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.1300000000000001E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.0000000000000000E+00	  -6.2833333333333350E+00	
  +9.0000000000000000E+00	  +3.4500000000000002E+00	  +6.3423615487705115E+02	  +1.4400000000000000E+02	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.4400000000000000E+02	  +0.0000000000000000E+00	  +1.4400000000000000E+02	  +1.1700000000000001E+01	  +0.0000000000000000E+00	  +8.2698082980154084E+01	  +1.0000000000000000E+00	  -6.2833333333333350E+00	
  +1.0000000000000000E+01	  +4.4500000000000002E+00	  +1.3830221868644285E+03	  +6.1560000000000002E+02	  +0.0000000000000000E+00	  +2.2582242119757882E+02	  +6.1560000000000002E+02	  +2.2582242119757882E+02	  +3.8977757880242120E+02	  +1.2950000000000001E+01	  +0.0000000000000000E+00	  +7.3958306296660155E+01	  +1.0000000000000000E+00	  -6.2833333333333350E+00	
