 TIME                    	Wind                     	Extraterrestrial         	Globalhorizontal         	globaldiffuse            	globaldirect             	incidentsolarradiation_to	tiltedradiation_direct   	titlted                  	diffuse                  	Ambienttemperature       	Slope                    	SURFACE_AI               	day                      	
 HOURS              	m/s                 	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	kJ/hr-m2            	øC                  	Degrees             	Degrees             	                    	Degrees             	
  +0.0000000000000000E+00	  +6.0000000000000009E-01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.5200000000000001E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +1.0000000000000000E+00	  +1.3000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.9750000000000000E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +2.0000000000000000E+00	  +1.8000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.4100000000000001E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +3.0000000000000000E+00	  +1.6500000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.3750000000000000E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +4.0000000000000000E+00	  +1.8500000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.3400000000000002E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +5.0000000000000000E+00	  +1.7500000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.3000000000000000E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +6.0000000000000000E+00	  +1.6000000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.2650000000000002E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +7.0000000000000000E+00	  +1.5500000000000000E+00	  +3.5375286858110439E+02	  +6.1200000000000003E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +6.1200000000000003E+01	  +0.0000000000000000E+00	  +6.1200000000000003E+01	  +2.2750000000000000E+01	  +0.0000000000000000E+00	  +8.5959386191060133E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +8.0000000000000000E+00	  +1.8000000000000000E+00	  +1.2624144138321476E+03	  +5.4000000000000000E+02	  +0.0000000000000000E+00	  +1.7316846348010446E+02	  +5.4000000000000000E+02	  +1.7316846348010446E+02	  +3.6683153651989551E+02	  +2.4050000000000001E+01	  +0.0000000000000000E+00	  +7.5413296970850780E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +9.0000000000000000E+00	  +2.1000000000000001E+00	  +2.2898363993580574E+03	  +1.2780000000000000E+03	  +0.0000000000000000E+00	  +6.2300975341787330E+02	  +1.2780000000000000E+03	  +6.2300975341787330E+02	  +6.5499024658212670E+02	  +2.6450000000000003E+01	  +0.0000000000000000E+00	  +6.2830905109274951E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +1.0000000000000000E+01	  +3.0500000000000003E+00	  +3.1329804067358095E+03	  +2.0988000000000002E+03	  +0.0000000000000000E+00	  +1.3425265690407332E+03	  +2.0988000000000002E+03	  +1.3425265690407332E+03	  +7.5627343095926699E+02	  +2.9350000000000001E+01	  +0.0000000000000000E+00	  +5.1342514178109994E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +1.1000000000000000E+01	  +3.9500000000000002E+00	  +3.7343875652239649E+03	  +2.8260000000000000E+03	  +0.0000000000000000E+00	  +2.2487742070071654E+03	  +2.8260000000000000E+03	  +2.2487742070071654E+03	  +5.7722579299283461E+02	  +3.2399999999999999E+01	  +0.0000000000000000E+00	  +4.1881374125228554E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +1.2000000000000000E+01	  +3.9500000000000002E+00	  +4.0530729708438716E+03	  +3.0564000000000001E+03	  +0.0000000000000000E+00	  +2.5278883990221525E+03	  +3.0564000000000001E+03	  +2.5278883990221525E+03	  +5.2851160097784759E+02	  +3.5100000000000001E+01	  +0.0000000000000000E+00	  +3.6094626860021535E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +1.3000000000000000E+01	  +4.4500000000000002E+00	  +4.0673187398550704E+03	  +3.0384000000000001E+03	  +0.0000000000000000E+00	  +2.4550336979545636E+03	  +3.0384000000000001E+03	  +2.4550336979545636E+03	  +5.8336630204543644E+02	  +3.7149999999999999E+01	  +0.0000000000000000E+00	  +3.5817567239605225E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +1.4000000000000000E+01	  +5.0000000000000000E+00	  +3.7761540466416914E+03	  +2.7935999999999999E+03	  +0.0000000000000000E+00	  +2.2820480091433019E+03	  +2.7935999999999999E+03	  +2.2820480091433019E+03	  +5.1155199085669801E+02	  +3.8500000000000000E+01	  +0.0000000000000000E+00	  +4.1161878498797016E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +1.5000000000000000E+01	  +5.0000000000000000E+00	  +3.1994212838738258E+03	  +2.2788000000000002E+03	  +0.0000000000000000E+00	  +1.7958318129235072E+03	  +2.2788000000000002E+03	  +1.7958318129235072E+03	  +4.8296818707649300E+02	  +3.8700000000000003E+01	  +0.0000000000000000E+00	  +5.0364178787032479E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +1.6000000000000000E+01	  +5.4000000000000004E+00	  +2.3764238362381429E+03	  +1.5552000000000000E+03	  +0.0000000000000000E+00	  +1.1071631279259509E+03	  +1.5552000000000000E+03	  +1.1071631279259509E+03	  +4.4803687207404914E+02	  +3.8650000000000006E+01	  +0.0000000000000000E+00	  +6.1713829420745810E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +1.7000000000000000E+01	  +5.5000000000000000E+00	  +1.3632476197234291E+03	  +8.6760000000000002E+02	  +0.0000000000000000E+00	  +6.5396522328913170E+02	  +8.6760000000000002E+02	  +6.5396522328913170E+02	  +2.1363477671086832E+02	  +3.8250000000000000E+01	  +0.0000000000000000E+00	  +7.4220162338727832E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +1.8000000000000000E+01	  +5.1000000000000005E+00	  +4.0729023968819217E+02	  +1.1880000000000000E+02	  +0.0000000000000000E+00	  +3.3896889811042513E+01	  +1.1880000000000000E+02	  +3.3896889811042513E+01	  +8.4903110188957484E+01	  +3.6600000000000001E+01	  +0.0000000000000000E+00	  +8.5344138472489988E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +1.9000000000000000E+01	  +4.6500000000000004E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.4899999999999999E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +2.0000000000000000E+01	  +3.8000000000000003E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.3450000000000003E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +2.1000000000000000E+01	  +3.3500000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2000000000000000E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +2.2000000000000000E+01	  +2.7500000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.0550000000000001E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +2.3000000000000000E+01	  +2.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.9100000000000001E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +2.4000000000000000E+01	  +1.6500000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.7650000000000002E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +1.0000000000000000E+00	  +3.3333333333333215E-02	
  +2.5000000000000000E+01	  +1.6000000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.6000000000000000E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000000E+00	  +3.3333333333333215E-02	
  +2.6000000000000000E+01	  +2.1000000000000001E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.4150000000000002E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000000E+00	  +3.3333333333333215E-02	
  +2.7000000000000000E+01	  +3.4500000000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.2250000000000000E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000000E+00	  +3.3333333333333215E-02	
  +2.8000000000000000E+01	  +4.2000000000000002E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +2.0400000000000002E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000000E+00	  +3.3333333333333215E-02	
  +2.9000000000000000E+01	  +3.8000000000000003E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.8550000000000001E+01	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000000E+00	  +3.3333333333333215E-02	
