 TIME                    	Outlet                   	temperature              	mass_flow                	Useful_energy            	
 HOURS              	øC                  	kg/hr               	kJ/hr               	øC                  	
  +0.0000000000000000E+00	  +2.0000000000000000E+01	  +2.8800000430000000E+03	  +0.0000000000000000E+00	  +2.0000000000000000E+01	
  +1.0000000000000000E+00	  +1.1350000000000005E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.5029925624642733E+01	
  +2.0000000000000000E+00	  +1.2600000000000005E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.5089617719247659E+01	
  +3.0000000000000000E+00	  +1.2400000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.5149071795919678E+01	
  +4.0000000000000000E+00	  +1.2150000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.5208288803738171E+01	
  +5.0000000000000000E+00	  +1.1900000000000002E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.5267269687998137E+01	
  +6.0000000000000000E+00	  +1.1700000000000001E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.5326015390225278E+01	
  +7.0000000000000000E+00	  +1.1500000000000002E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.5384526848191031E+01	
  +8.0000000000000000E+00	  +1.1300000000000001E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +1.5442804995927538E+01	
  +9.0000000000000000E+00	  +1.7626854888729401E+01	  +2.0000000000000000E+02	  +1.3359942617475238E+03	  +1.6032589659913739E+01	
  +1.0000000000000000E+01	  +2.4594854218368095E+01	  +2.0000000000000000E+02	  +5.7836502340303050E+03	  +1.7693123628833124E+01	
  +1.1000000000000000E+01	  +3.3814709554542034E+01	  +2.0000000000000000E+02	  +1.1480591174026134E+04	  +2.0114720086730415E+01	
  +1.2000000000000000E+01	  +3.7007425761932751E+01	  +2.0000000000000000E+02	  +1.1775293893693857E+04	  +2.2955762404302849E+01	
  +1.3000000000000000E+01	  +4.3565213908111815E+01	  +2.0000000000000000E+02	  +1.4705387247679619E+04	  +2.6017019101811556E+01	
  +1.4000000000000000E+01	  +4.1244237646205804E+01	  +2.0000000000000000E+02	  +1.0246531582032909E+04	  +2.9016872989841954E+01	
  +1.5000000000000000E+01	  +3.9232588742939456E+01	  +2.0000000000000000E+02	  +6.2794232889022978E+03	  +3.1739243529452228E+01	
  +1.6000000000000000E+01	  +2.7438296342644598E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2869868269383183E+01	
  +1.7000000000000000E+01	  +2.3832225621950617E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2869868269383183E+01	
  +1.8000000000000000E+01	  +1.4800000000000001E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2858424876121113E+01	
  +1.9000000000000000E+01	  +1.4600000000000001E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2847027112566415E+01	
  +2.0000000000000000E+01	  +1.4350000000000001E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2835650993100373E+01	
  +2.1000000000000000E+01	  +1.4099999999999998E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2824296590184559E+01	
  +2.2000000000000000E+01	  +1.3900000000000002E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2812987652125273E+01	
  +2.3000000000000000E+01	  +1.3699999999999999E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2801723996873925E+01	
  +2.4000000000000000E+01	  +1.3450000000000005E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2790528867813244E+01	
  +2.5000000000000000E+01	  +1.3150000000000002E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2779401834707151E+01	
  +2.6000000000000000E+01	  +1.2850000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2768319169845071E+01	
  +2.7000000000000000E+01	  +1.2550000000000001E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2757280696311831E+01	
  +2.8000000000000000E+01	  +1.2200000000000005E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2746286237897678E+01	
  +2.9000000000000000E+01	  +1.1850000000000003E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2735335619095501E+01	
  +3.0000000000000000E+01	  +1.1550000000000001E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2724428665097996E+01	
  +3.1000000000000000E+01	  +1.1249999999999998E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2713565201794893E+01	
  +3.2000000000000000E+01	  +1.0900000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2702745055770187E+01	
  +3.3000000000000000E+01	  +2.3462105115112962E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.2691922859857371E+01	
  +3.4000000000000000E+01	  +3.5975994398511240E+01	  +2.0000000000000000E+02	  +1.9953526108838907E+03	  +3.3594905364043591E+01	
  +3.5000000000000000E+01	  +3.7996741075921079E+01	  +2.0000000000000000E+02	  +2.5531658197788856E+03	  +3.4950003820815013E+01	
  +3.6000000000000000E+01	  +3.9228512492272039E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.5428978877401470E+01	
  +3.7000000000000000E+01	  +5.1611783661490179E+01	  +2.0000000000000000E+02	  +1.3083271283848047E+04	  +3.5999288096039045E+01	
  +3.8000000000000000E+01	  +4.9394058714373706E+01	  +2.0000000000000000E+02	  +1.0303495299233897E+04	  +3.7098718261827287E+01	
  +3.9000000000000000E+01	  +4.6127133145219595E+01	  +2.0000000000000000E+02	  +6.5027681601796648E+03	  +3.8367266605625723E+01	
  +4.0000000000000000E+01	  +4.4009387910915898E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8964867231623678E+01	
  +4.1000000000000000E+01	  +3.0370014950110964E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8964867231623678E+01	
  +4.2000000000000000E+01	  +1.4000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8929120468481898E+01	
  +4.3000000000000000E+01	  +1.3800000000000001E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8893516242986479E+01	
  +4.4000000000000000E+01	  +1.3600000000000001E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8857979629089535E+01	
  +4.5000000000000000E+01	  +1.3400000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8822510853145850E+01	
  +4.6000000000000000E+01	  +1.3200000000000001E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8787184099889018E+01	
  +4.7000000000000000E+01	  +1.3000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8751998800637331E+01	
  +4.8000000000000000E+01	  +1.2800000000000001E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8717027562848983E+01	
  +4.9000000000000000E+01	  +1.2600000000000005E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8682269042556534E+01	
  +5.0000000000000000E+01	  +1.2449999999999999E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8647649119363180E+01	
  +5.1000000000000000E+01	  +1.2300000000000002E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8613167240622957E+01	
  +5.2000000000000000E+01	  +1.2150000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8578822855893534E+01	
  +5.3000000000000000E+01	  +1.2000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8544615416927442E+01	
  +5.4000000000000000E+01	  +1.1850000000000003E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8510544377663294E+01	
  +5.5000000000000000E+01	  +1.1750000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8476609194217097E+01	
  +5.6000000000000000E+01	  +1.1600000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8442809324873551E+01	
  +5.7000000000000000E+01	  +2.9761178291580620E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.8409003052109050E+01	
  +5.8000000000000000E+01	  +4.3073091447324764E+01	  +2.0000000000000000E+02	  +3.2546155367530960E+03	  +3.9189302023991715E+01	
  +5.9000000000000000E+01	  +5.1972299177597158E+01	  +2.0000000000000000E+02	  +9.5551475674563444E+03	  +4.0569975111420135E+01	
  +6.0000000000000000E+01	  +5.5980692960243758E+01	  +2.0000000000000000E+02	  +1.1880203349762338E+04	  +4.1803839320909219E+01	
  +6.1000000000000000E+01	  +4.8336473295471031E+01	  +2.0000000000000000E+02	  +4.4746454039667578E+03	  +4.2996800975701632E+01	
  +6.2000000000000000E+01	  +5.2572416955044943E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.3508077720669561E+01	
  +6.3000000000000000E+01	  +2.0277598190906950E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.3454215232547241E+01	
  +6.4000000000000000E+01	  +4.8712127064510675E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.3400567517221361E+01	
  +6.5000000000000000E+01	  +3.1833524823912768E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.3347133718300867E+01	
  +6.6000000000000000E+01	  +1.3850000000000003E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.3293912982809474E+01	
  +6.7000000000000000E+01	  +1.3699999999999999E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.3240904461172079E+01	
  +6.8000000000000000E+01	  +1.3500000000000004E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.3187775045006063E+01	
  +6.9000000000000000E+01	  +1.3299999999999999E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.3134969071425942E+01	
  +7.0000000000000000E+01	  +1.3150000000000002E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.3082374541462059E+01	
  +7.1000000000000000E+01	  +1.3000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.3029990608460153E+01	
  +7.2000000000000000E+01	  +1.2800000000000001E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.2978143401504383E+01	
  +7.3000000000000000E+01	  +1.2499999999999998E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.2926393988355564E+01	
  +7.4000000000000000E+01	  +1.2100000000000001E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.2874850922268756E+01	
  +7.5000000000000000E+01	  +1.1750000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.2823513380449889E+01	
  +7.6000000000000000E+01	  +1.1400000000000004E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.2772380543385736E+01	
  +7.7000000000000000E+01	  +1.1000000000000004E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.2721451594830818E+01	
  +7.8000000000000000E+01	  +1.0600000000000003E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.2670725721794369E+01	
  +7.9000000000000000E+01	  +1.0200000000000003E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.2620202114527359E+01	
  +8.0000000000000000E+01	  +9.8500000000000014E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.2569879966509589E+01	
  +8.1000000000000000E+01	  +2.4751054098799020E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.2519127635152302E+01	
  +8.2000000000000000E+01	  +4.2418270175494392E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.2468789555982077E+01	
  +8.3000000000000000E+01	  +4.4963821699122811E+01	  +2.0000000000000000E+02	  +1.6210215568609281E+03	  +4.3029428433178985E+01	
